Reference, Value, Footprint, Datasheet, Mouser Part Number
"R1","330R","Resistor_SMD:R_0805_2012Metric","~","652-CMP0805-FX-3300L"
"R2","2k7","Resistor_SMD:R_0805_2012Metric","~","71-CRCW0805-2.7K-E3 "
"C1","100nF","Capacitor_SMD:C_0805_2012Metric","~","710-885012207128"
"U3","MCP73871-2AA","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.mouser.com/ds/2/268/22090a-52174.pdf","579-MCP73871-2AAI/ML"
"U5","TPS61130RSA","Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm","","595-TPS61130RSAR "
"R5","330k","Resistor_SMD:R_0805_2012Metric","~","71-CRCW0805330KFKEA"
"R6","110k","Resistor_SMD:R_0805_2012Metric","~","652-CR0805JW-114ELF"
"R8","10k","Resistor_SMD:R_0805_2012Metric","~","652-CMP0805-FX-1002L"
"R7","2k","Resistor_SMD:R_0805_2012Metric","~","71-CRCW08052K00FKEAC"
"R11","10k","Resistor_SMD:R_0805_2012Metric","~","652-CMP0805-FX-1002L"
"R9","100k","Resistor_SMD:R_0805_2012Metric","~","652-CMP0805-FX-1003L"
"R10","10k","Resistor_SMD:R_0805_2012Metric","~","652-CMP0805-FX-1002L"
"R12","10k","Resistor_SMD:R_0805_2012Metric","~","652-CMP0805-FX-1002L"
"R13","10k","Resistor_SMD:R_0805_2012Metric","~","652-CMP0805-FX-1002L"
"R14","1k","Resistor_SMD:R_0805_2012Metric","~","71-CRCW08051K00FKEAC "
"R15","1k","Resistor_SMD:R_0805_2012Metric","~","71-CRCW08051K00FKEAC "
"R16","1k","Resistor_SMD:R_0805_2012Metric","~","71-CRCW08051K00FKEAC "
"SW1","JS102011SAQN SPDT","c1cada11:JS102011SAQN","~","611-JS102011SAQN"
"D3","GREEN LED","LED_SMD:LED_0805_2012Metric","~","710-150080VS75000"
"D4","RED LED","LED_SMD:LED_0805_2012Metric","~","710-150080RS75000"
"D5","BLUE LED","LED_SMD:LED_0805_2012Metric","~","710-150080BS75000"
"R17","1M8","Resistor_SMD:R_0805_2012Metric","~","652-CR0805JW-185ELF"
"R18","390k","Resistor_SMD:R_0805_2012Metric","~","652-CR0805FX-3903ELF"
"L1","22uH","c1cada11:TYS4030220M-10","~","875-TYS4030220M-10"
"L2","22uH","c1cada11:TYS4030220M-10","~","875-TYS4030220M-10"
"C21","10uF","Capacitor_SMD:C_0805_2012Metric","~","80-C0805C106K8P"
"R24","1M","Resistor_SMD:R_0805_2012Metric","~","667-ERA-6AED105V"
"R25","180k","Resistor_SMD:R_0805_2012Metric","~","754-RR1220P-184D"
"R20","10k","Resistor_SMD:R_0805_2012Metric","~","652-CMP0805-FX-1002L"
"R21","1M","Resistor_SMD:R_0805_2012Metric","~","667-ERA-6AED105V"
"R22","250k","Resistor_SMD:R_0805_2012Metric","~","754-RR1220P-2493D-M "
"R23","180k","Resistor_SMD:R_0805_2012Metric","~","754-RR1220P-184D"
"C14","10uF","Capacitor_SMD:C_0805_2012Metric","~","80-C0805C106K8P"
"C13","10uF","Capacitor_SMD:C_0805_2012Metric","~","80-C0805C106K8P"
"C17","100uF","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I","~","581-TAJD107M016R "
"C18","2.2uF","Capacitor_SMD:C_0805_2012Metric","~","791-0805X225M160CT"
"C19","10uF","Capacitor_SMD:C_0805_2012Metric","~","80-C0805C106K8P"
"C20","100nF","Capacitor_SMD:C_0805_2012Metric","~","710-885012207128"
"C16","100nF","Capacitor_SMD:C_0805_2012Metric","~","710-885012207128"
"U6","MIC5504-2.5YM5","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf","998-MIC5504-2.5YM5TR"
"C22","1uF","Capacitor_SMD:C_0805_2012Metric","~","710-885012107015"
"C23","1uF","Capacitor_SMD:C_0805_2012Metric","~","710-885012107015"
"R19","10k","Resistor_SMD:R_0805_2012Metric","~","652-CMP0805-FX-1002L"
"R52","0R","Resistor_SMD:R_0805_2012Metric","~","71-CRCW08050000Z0EAC"
"R51","0R","Resistor_SMD:R_0805_2012Metric","~","71-CRCW08050000Z0EAC"
"TP1","TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"TP2","TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"C15","10uF","Capacitor_SMD:C_0805_2012Metric","~","80-C0805C106K8P"
"Q1","PMDPB30XN","c1cada11:PMDPB30XN","","771-PMDPB30XNZ"
"U8","MIC2860-2D","Package_TO_SOT_SMD:SOT-23-6","","998-MIC2860-2DYD6TR"
"U7","MIC2860-2D","Package_TO_SOT_SMD:SOT-23-6","","998-MIC2860-2DYD6TR"
"D1","4DLCD-24320240-IPS","Connector_FFC-FPC:Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal","","798-FH12-40S-0.5SH55 "
"R28","10k","Resistor_SMD:R_0805_2012Metric","~","652-CMP0805-FX-1002L"
"R29","10k DNF","Resistor_SMD:R_0805_2012Metric","~","652-CMP0805-FX-1002L"
"R26","15k","Resistor_SMD:R_0805_2012Metric","~","754-RR1220P-153D"
"R27","15k","Resistor_SMD:R_0805_2012Metric","~","754-RR1220P-153D"
"C24","10uF","Capacitor_SMD:C_0805_2012Metric","~","80-C0805C106K8P"
"C25","100nF","Capacitor_SMD:C_0805_2012Metric","~","710-885012207128"
"C85","100nF","Capacitor_SMD:C_0805_2012Metric","~","710-885012207128"
"C86","100nF","Capacitor_SMD:C_0805_2012Metric","~","710-885012207128"
"J4","USB_B_Micro","Connector_USB:USB_Micro-B_Molex_47346-0001","~","538-47346-0001"
"R30","1M","Resistor_SMD:R_0805_2012Metric","~","667-ERA-6AED105V"
"C26","4.7nF","Capacitor_SMD:C_0805_2012Metric","~","710-885012207090"
"SW7","SW_Push","c1cada11:PTS647SN50SMTR2LFS","~","611-PTS647SN50SMTR2L "
"SW6","SW_Push","c1cada11:PTS647SN50SMTR2LFS","~","611-PTS647SN50SMTR2L "
"SW10","SW_Push","c1cada11:PTS647SN50SMTR2LFS","~","611-PTS647SN50SMTR2L "
"SW8","SW_Push","c1cada11:PTS647SN50SMTR2LFS","~","611-PTS647SN50SMTR2L "
"SW4","SW_Push","c1cada11:PTS841-GM-SMTR","~","611-PTS841GMSMTRLFS"
"SW5","SW_Push","c1cada11:PTS841-GM-SMTR","~","611-PTS841GMSMTRLFS"
"SW13","SW_Push","c1cada11:PTS647SN50SMTR2LFS","~","611-PTS647SN50SMTR2L "
"SW12","SW_Push","c1cada11:PTS647SN50SMTR2LFS","~","611-PTS647SN50SMTR2L "
"SW2","SW_Push","c1cada11:PTS841-GM-SMTR","~","611-PTS841GMSMTRLFS"
"SW3","SW_Push","c1cada11:PTS841-GM-SMTR","~","611-PTS841GMSMTRLFS"
"J5","Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J3","Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"RN3","10k","Resistor_SMD:R_Array_Convex_4x1206","~","652-CAY16-103J4AS"
"RN4","10k","Resistor_SMD:R_Array_Convex_4x1206","~","652-CAY16-103J4AS"
"RN5","10k","Resistor_SMD:R_Array_Convex_4x1206","~","652-CAY16-103J4AS"
"SW9","SW_Push","c1cada11:PTS647SN50SMTR2LFS","~","611-PTS647SN50SMTR2L "
"SW11","SW_Push","c1cada11:PTS647SN50SMTR2LFS","~","611-PTS647SN50SMTR2L "
"J6","Micro_SD_Card","Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5","http://katalog.we-online.de/em/datasheet/693072010801.pdf","798-DM3AT-SF-PEJM5"
"RN1","10k","Resistor_SMD:R_Array_Convex_4x1206","~","652-CAY16-103J4AS"
"RN2","10k","Resistor_SMD:R_Array_Convex_4x1206","~","652-CAY16-103J4AS"
"U9","LM49450","c1cada11:QFN-32_EP_5.4x5.4_Pitch0.5mm","","926-LM49450SQ/NOPB"
"LS1","CDM-20008","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","490-CDM-20008 "
"LS2","CDM-20008","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","490-CDM-20008 "
"C31","1uF","Capacitor_SMD:C_0805_2012Metric","~","710-885012107015"
"C33","100nF","Capacitor_SMD:C_0805_2012Metric","~","710-885012207128"
"C34","10uF","Capacitor_SMD:C_0805_2012Metric","~","80-C0805C106K8P"
"C35","1uF","Capacitor_SMD:C_0805_2012Metric","~","710-885012107015"
"C36","1uF","Capacitor_SMD:C_0805_2012Metric","~","710-885012107015"
"C28","1uF","Capacitor_SMD:C_0805_2012Metric","~","710-885012107015"
